Имя ЛКД;Имя MDU (LKD);Область ЛКД;Город ЛКД;Улица ЛКД;Дом ЛКД;ID Дома;Подъезд(ЛКД);ID Подъезда;Количество этажей ЛКД;Квартира от (ЛКД);Квартира до ЛКД;Длина кабеля ЛКД;К-тво UTP/пар в ЛКД;Метод прокладки ЛКД;Дата акта ЛКД;Дилер зоны;СТАТУС ЛКД;ИФ Автора изменения;Дата изменения
LKD_ZAP_4804852_1;MDU_ZAP00074;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Сергія Синенко[Кремлівська];83;477191;;4804852;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4805462_1;MDU_ZAP00066;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Героїв 93-ї бригади[Гудименка];3;469549;1;4805462;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4805464_1;MDU_ZAP00066;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Героїв 93-ї бригади[Гудименка];3;469549;2;4805464;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4805466_1;MDU_ZAP00066;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Героїв 93-ї бригади[Гудименка];3;469549;3;4805466;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4805468_1;MDU_ZAP00066;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Героїв 93-ї бригади[Гудименка];3;469549;4;4805468;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4806934_1;MDU_ZAP00060;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Металургів;22;481235;;4806934;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_4807872_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Південне;3А;2006598;1;4807872;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4807874_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Південне;3А;2006598;2;4807874;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_ZAP_4812134_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Незалежної України[40 років Радянської України];68;494536;;4812134;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812136_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Незалежної України[40 років Радянської України];68;494536;;4812136;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812308_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];151;479166;;4812308;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812310_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];151;479166;;4812310;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812312_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];151;479166;;4812312;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812314_1;MDU_ZAP00095;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];151;479166;;4812314;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4812766_1;MDU_ZAP00051;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Військбуд;67;2003816;;4812766;3;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813366_1;MDU_BRD00131;Запорізька область;Бердянськ м.;Нагорна[50 років Радянської Влади];8;960797;;4813366;4;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813632_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813632;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813634_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813634;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813636_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813636;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813638_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813638;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813640_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813640;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813642_1;MDU_BRD00129;Запорізька область;Бердянськ м.;Північна[Морозова Павлика];13;964647;;4813642;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4813680_1;MDU_BRD00130;Запорізька область;Бердянськ м.;Першотравнева;3/35;965632;4;4813680;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4814378_1;MDU_ZAP00096;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Лермонтова;15;479487;;4814378;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_4816832_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;1;4816832;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816834_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;2;4816834;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816836_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;3;4816836;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816838_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;4;4816838;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816840_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;5;4816840;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816842_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;6;4816842;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4816844_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Поштова[Горького];32;2004820;7;4816844;4;;;;;;;;назначен в план;GIS;10.02.2017
LKD_BRD_4820890_1;MDU_BRD00130;Запорізька область;Бердянськ м.;Італійська[Дюміна];92;2008634;;4820890;6;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4821144_1;MDU_BRD00131;Запорізька область;Бердянськ м.;Довганюка[Орджонікідзе];95;1102403;;4821144;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4821146_1;MDU_BRD00131;Запорізька область;Бердянськ м.;Довганюка[Орджонікідзе];95;1102403;;4821146;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_BRD_4821148_1;MDU_BRD00131;Запорізька область;Бердянськ м.;Довганюка[Орджонікідзе];95;1102403;;4821148;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826606_1;MDU_ZAP00053;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Космічна;118А;504671;;4826606;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826608_1;MDU_ZAP00053;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Космічна;118А;504671;;4826608;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826610_1;MDU_ZAP00053;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Космічна;118А;504671;;4826610;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826612_1;MDU_ZAP00053;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Космічна;118А;504671;;4826612;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826810_1;MDU_ZAP00031;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];185;479091;;4826810;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4826882_1;MDU_ZAP00098;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Лобановського;28;2004496;;4826882;13;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_4827030_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квітня;5/1;2004448;1;4827030;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4827032_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квіjydtyjdhgjfdhjgdfhj````тня;5/1;2004448;2;4827032;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4827034_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квітня;5/1;2004448;3;4827034;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4827036_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квітня;5/1;2004448;4;4827036;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4827038_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квітня;5/1;2004448;5;4827038;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4827040_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);12-го Квітня;5/1;2004448;6;4827040;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_ZAP_4827052_1;MDU_ZAP00024;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;49;503503;;4827052;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4827054_1;MDU_ZAP00024;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;49;503503;;4827054;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4827056_1;MDU_ZAP00024;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;49;503503;;4827056;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
